,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
137,2023-11-24 00:00:00,22300045,,1610612752,1610612748,2023,,100.0,48.1,66.7,34.5,21.0,46.0,,98.0,39.1,95.2,27.0,20.0,41.0,1
138,2023-11-24 00:00:00,22300049,,1610612749,1610612764,2023,,131.0,52.2,78.8,29.0,28.0,50.0,,128.0,48.0,81.0,40.5,29.0,46.0,1
139,2023-11-24 00:00:00,22300048,,1610612745,1610612743,2023,,105.0,48.8,86.7,41.4,25.0,49.0,,86.0,34.0,71.4,23.3,17.0,46.0,1
140,2023-11-24 00:00:00,22300047,,1610612754,1610612765,2023,,136.0,48.0,91.7,42.1,24.0,40.0,,113.0,47.8,83.3,38.9,22.0,43.0,1
141,2023-11-24 00:00:00,22300051,,1610612744,1610612759,2023,,118.0,49.4,79.2,45.2,35.0,41.0,,112.0,45.0,83.3,25.5,28.0,46.0,1
142,2023-11-24 00:00:00,22300044,,1610612763,1610612756,2023,,89.0,46.3,60.0,27.3,22.0,35.0,,110.0,51.3,75.0,35.5,22.0,41.0,0
143,2023-11-24 00:00:00,22300052,,1610612746,1610612740,2023,,106.0,45.7,64.7,29.7,27.0,39.0,,116.0,48.9,74.1,41.7,26.0,50.0,0
144,2023-11-22 00:00:00,22300226,,1610612753,1610612743,2023,,124.0,54.3,86.7,34.5,27.0,41.0,,119.0,47.3,76.2,42.9,29.0,42.0,1
145,2023-11-22 00:00:00,22300225,,1610612766,1610612764,2023,,117.0,47.3,71.4,43.2,27.0,49.0,,114.0,45.4,83.3,34.4,26.0,47.0,1
146,2023-11-22 00:00:00,22300228,,1610612738,1610612749,2023,,119.0,52.4,82.4,40.5,27.0,43.0,,116.0,44.6,76.5,38.2,23.0,47.0,1
147,2023-11-22 00:00:00,22300230,,1610612754,1610612761,2023,,131.0,54.9,81.3,46.2,33.0,31.0,,132.0,53.3,83.3,40.7,26.0,46.0,0
148,2023-11-22 00:00:00,22300227,,1610612737,1610612751,2023,,147.0,44.0,93.1,36.7,24.0,58.0,,145.0,48.7,83.3,42.9,28.0,59.0,1
149,2023-11-22 00:00:00,22300234,,1610612760,1610612741,2023,,116.0,49.3,81.6,37.9,24.0,45.0,,102.0,38.6,100.0,38.6,22.0,38.0,1
150,2023-11-22 00:00:00,22300235,,1610612759,1610612746,2023,,102.0,38.5,91.3,28.9,26.0,44.0,,109.0,45.9,75.9,32.1,29.0,50.0,0
151,2023-11-22 00:00:00,22300231,,1610612745,1610612763,2023,,111.0,43.5,85.0,32.6,22.0,49.0,,91.0,32.9,85.7,21.9,17.0,46.0,1
152,2023-11-22 00:00:00,22300233,,1610612740,1610612758,2023,,117.0,47.1,75.7,23.3,23.0,48.0,,112.0,44.7,82.9,34.1,22.0,38.0,1
153,2023-11-22 00:00:00,22300237,,1610612757,1610612762,2023,,121.0,51.1,66.7,43.6,31.0,37.0,,105.0,46.8,80.8,32.3,25.0,44.0,1
154,2023-11-22 00:00:00,22300232,,1610612750,1610612755,2023,,112.0,48.3,66.7,38.5,28.0,48.0,,99.0,39.1,80.0,21.9,21.0,48.0,1
